City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Sibiti,CG,2022-01-30 07:42:38,-3.6819,13.3499,75.04,85,100,3.38
243,Tychy,PL,2022-01-30 07:42:39,50.1372,18.9664,40.69,69,100,24.02
244,Batagay-Alyta,RU,2022-01-30 07:33:18,67.8006,130.4114,-21.59,97,65,3.38
245,Ishigaki,JP,2022-01-30 07:42:40,24.3448,124.1572,62.73,94,75,14.97
246,Qingdao,CN,2022-01-30 07:40:25,36.0986,120.3719,40.6,20,0,2.24
247,Misratah,LY,2022-01-30 07:42:41,32.3754,15.0925,55.99,53,88,20.71
248,Kruisfontein,ZA,2022-01-30 07:33:57,-34.0033,24.7314,76.89,43,0,9.26
249,Mount Isa,AU,2022-01-30 07:31:04,-20.7333,139.5,85.77,58,100,13.8
250,Faanui,PF,2022-01-30 07:34:42,-16.4833,-151.75,80.53,72,100,6.55
251,Solnechnyy,RU,2022-01-30 07:42:42,50.7214,136.6319,-7.44,100,100,1.45
252,San Andres,CO,2022-01-30 07:38:12,12.5847,-81.7006,78.82,73,20,6.91
253,Aklavik,CA,2022-01-30 07:33:36,68.2191,-135.0107,-15.77,91,100,9.44
254,Tuatapere,NZ,2022-01-30 07:36:47,-46.1333,167.6833,61.83,91,100,2.15
255,Abha,SA,2022-01-30 07:42:45,18.2164,42.5053,60.62,48,0,18.41
256,Maralal,KE,2022-01-30 07:42:45,1.0968,36.698,70.52,39,73,6.91
257,Lazareni,RO,2022-01-30 07:42:46,46.8667,22.0667,32.18,96,95,13.87
258,Nome,US,2022-01-30 07:36:15,64.5011,-165.4064,-6.84,65,0,3.44
259,Hobyo,SO,2022-01-30 07:42:47,5.3505,48.5268,81.37,61,40,21.39
260,Scarborough,GB,2022-01-30 07:40:06,54.2797,-0.4044,37.53,83,51,3.0
261,Fereydun Kenar,IR,2022-01-30 07:42:48,36.6864,52.5225,52.11,62,0,0.0
262,Orange,US,2022-01-30 07:42:49,33.7,-117.7675,62.47,34,20,3.44
263,Jember,ID,2022-01-30 07:42:50,-8.166,113.7032,83.44,77,100,5.59
264,Cabo San Lucas,MX,2022-01-30 07:35:11,22.8909,-109.9124,69.51,68,20,9.69
265,Bereda,ES,2022-01-30 07:42:53,43.2686,-7.5406,38.41,100,6,1.34
266,Fitjar,NO,2022-01-30 07:42:53,59.9184,5.3192,41.47,68,9,32.46
267,Khao Yoi,TH,2022-01-30 07:42:53,13.2403,99.8243,96.98,33,42,12.24
268,Cradock,ZA,2022-01-30 07:42:56,-32.1642,25.6192,81.0,32,11,4.63
269,Clearlake,US,2022-01-30 07:42:58,38.9582,-122.6264,48.15,57,0,2.91
270,Mpigi,UG,2022-01-30 07:42:59,0.225,32.3136,72.41,32,50,2.59
271,Cayenne,GF,2022-01-30 07:43:00,4.9333,-52.3333,78.1,88,75,4.0
272,Chodziez,PL,2022-01-30 07:43:00,52.995,16.9198,38.25,68,100,30.13
273,Pasighat,IN,2022-01-30 07:43:00,28.0667,95.3333,68.02,42,0,4.18
274,Lagoa,PT,2022-01-30 07:36:16,39.05,-27.9833,57.42,69,10,18.61
275,Port-Cartier,CA,2022-01-30 07:43:02,50.0334,-66.8654,8.82,92,100,15.17
276,Tura,IN,2022-01-30 07:37:20,25.5198,90.2201,68.13,35,36,4.72
277,Golden,US,2022-01-30 07:41:39,39.7555,-105.2211,36.0,39,0,3.0
278,Kabare,CD,2022-01-30 07:43:03,-2.4683,28.8242,71.94,71,89,1.01
279,Muli,MV,2022-01-30 07:43:03,2.9167,73.5667,82.2,73,63,11.86
280,Umm Lajj,SA,2022-01-30 07:43:05,25.0213,37.2685,66.67,37,0,12.77
281,Jumla,NP,2022-01-30 07:43:06,29.2747,82.1838,55.04,20,0,5.7
282,Gualeguay,AR,2022-01-30 07:43:08,-33.1416,-59.3097,62.96,76,0,7.52
283,Haines Junction,CA,2022-01-30 07:43:09,60.7522,-137.5108,8.55,85,100,2.3
284,Gondanglegi,ID,2022-01-30 07:43:10,-7.7479,112.0132,80.17,85,99,7.16
285,Kirkuk,IQ,2022-01-30 07:43:11,35.4681,44.3922,48.83,54,99,3.38
286,Lebu,CL,2022-01-30 07:34:09,-37.6167,-73.65,54.63,89,12,6.35
287,Mikkeli,FI,2022-01-30 07:43:13,61.6886,27.2723,25.14,93,100,9.22
